test,cluster genes,cluster gene ids,variable factors,gsea pval,bootstrapping pval,ora pval
cluster_115_UP - PAWP,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.856260563,0.066,
cluster_115_UP - CVP,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.964,
cluster_115_UP - HZV_Fick,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.871,
cluster_115_UP - HZV_Thermodil,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.512,
cluster_115_UP - PVR,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.982985021,0.795,
cluster_115_UP - Cardiac Index,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.14,
cluster_115_UP - Rrsys,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.545300764,0.005,
cluster_115_UP - PA_systolic,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.347,
cluster_115_UP - PA_diastolic,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.837,
cluster_115_UP - ven_SO2,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.995210939,0.618,
cluster_115_UP - AVDO2,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.529,
cluster_115_UP - TAPSE,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.959814133,0.802,
cluster_115_UP - RVEDD,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.937,
cluster_115_UP - S,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.998270225,0.481,
cluster_115_UP - sPAP excl. ZVD,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.323,
cluster_115_UP - ZVD,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.624,
cluster_115_UP - VCI_diameter,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.932100879,0.26,
cluster_115_UP - RA_area,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.837123983,0.034,
cluster_115_UP - AT,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.994126168,0.725,
cluster_115_UP - AT_ET,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.981442919,0.262,
cluster_115_UP - Paradoxe_Septumbewegung,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.609,
cluster_115_UP - Perikarderguss,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.21,
cluster_115_UP - SMW,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.242205752,0.072,
cluster_115_UP - FEV1,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.960830105,0.319,
cluster_115_UP - Tiffeneau Index FEV1/VC,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.12,
cluster_115_UP - DLCO,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,0.753257877,0.07,
cluster_115_UP - Kreatinin,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.411,
cluster_115_UP - eGFR,4,ENSG00000111863|ADTRP ENSG00000154027|AK5 ENSG00000174136|RGMB ENSG00000177590|GIMAP3P,NA,1,0.145,
cluster_116_UP - condition/healthy,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,3,-,0.592,0.601747039
cluster_116_UP - condition/pah,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,3,-,0.91,0.923112508
cluster_116_UP - condition/ph-lung,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,3,-,0.26,0.258460607
cluster_116_UP - gender/F,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,2,-,0.652,0.63761687
cluster_116_UP - gender/M,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,2,-,0.626,0.624000952
cluster_116_UP - age,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.98885037,0.951,
cluster_116_UP - height,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.437,
cluster_116_UP - weight,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.67056939,0.1,
cluster_116_UP - BNP,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.93381844,0.48,
cluster_116_UP - NYHA,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.927,
cluster_116_UP - heart rate,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.311,
cluster_116_UP - mPAP,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.764076556,0.298,
cluster_116_UP - PAWP,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.994730139,0.598,
cluster_116_UP - CVP,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.337,
cluster_116_UP - HZV_Fick,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.950494032,0.682,
cluster_116_UP - HZV_Thermodil,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.874446441,0.274,
cluster_116_UP - PVR,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.228,
cluster_116_UP - Cardiac Index,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.565,
cluster_116_UP - Rrsys,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.883690914,0.079,
cluster_116_UP - PA_systolic,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.74490287,0.196,
cluster_116_UP - PA_diastolic,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.983534873,0.568,
cluster_116_UP - ven_SO2,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.964887375,0.58,
cluster_116_UP - AVDO2,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.566261254,0.344,
cluster_116_UP - TAPSE,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.974452788,0.963,
cluster_116_UP - RVEDD,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.817645517,0.044,
cluster_116_UP - S,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.913049911,0.206,
cluster_116_UP - sPAP excl. ZVD,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.595,
cluster_116_UP - ZVD,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.976,
cluster_116_UP - VCI_diameter,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.909897499,0.213,
cluster_116_UP - RA_area,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.305,
cluster_116_UP - AT,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.298,
cluster_116_UP - AT_ET,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.044,
cluster_116_UP - Paradoxe_Septumbewegung,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.277,
cluster_116_UP - Perikarderguss,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.974312642,0.891,
cluster_116_UP - SMW,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.883833169,0.157,
cluster_116_UP - FEV1,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.561528438,0.059,
cluster_116_UP - Tiffeneau Index FEV1/VC,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,1,0.507,
cluster_116_UP - DLCO,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.996504778,0.324,
cluster_116_UP - Kreatinin,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.798613402,0.138,
cluster_116_UP - eGFR,4,ENSG00000158109|TPRG1L ENSG00000207208|RNU6-790P ENSG00000267317|ENSG00000267317 ENSG00000287597|ENSG00000287597,NA,0.795925751,0.476,
cluster_117_UP - condition/healthy,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,3,-,0.122,0.140643584
cluster_117_UP - condition/pah,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,3,-,0.965,0.953665918
cluster_117_UP - condition/ph-lung,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,3,-,0.751,0.750508788
cluster_117_UP - gender/F,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,2,-,0.825,0.813169023
cluster_117_UP - gender/M,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,2,-,0.514,0.500707017
cluster_117_UP - age,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.981872144,0.822,
cluster_117_UP - height,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.153,
cluster_117_UP - weight,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.997269913,0.53,
cluster_117_UP - BNP,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.944444444,0.156,
cluster_117_UP - NYHA,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.386,
cluster_117_UP - heart rate,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.912833785,0.594,
cluster_117_UP - mPAP,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.396,
cluster_117_UP - PAWP,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.697964714,0.135,
cluster_117_UP - CVP,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.938,
cluster_117_UP - HZV_Fick,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.97,
cluster_117_UP - HZV_Thermodil,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.289,
cluster_117_UP - PVR,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.182,
cluster_117_UP - Cardiac Index,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.978149349,0.382,
cluster_117_UP - Rrsys,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.641793215,0.109,
cluster_117_UP - PA_systolic,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.38,
cluster_117_UP - PA_diastolic,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.532,
cluster_117_UP - ven_SO2,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.892676113,0.569,
cluster_117_UP - AVDO2,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.91212552,0.779,
cluster_117_UP - TAPSE,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.942791891,0.391,
cluster_117_UP - RVEDD,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.871508858,0.459,
cluster_117_UP - S,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.906480734,0.625,
cluster_117_UP - sPAP excl. ZVD,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.211,
cluster_117_UP - ZVD,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.071,
cluster_117_UP - VCI_diameter,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.853634558,0.164,
cluster_117_UP - RA_area,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.001,
cluster_117_UP - AT,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.012,
cluster_117_UP - AT_ET,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.968985492,0.245,
cluster_117_UP - Paradoxe_Septumbewegung,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.560346684,0.006,
cluster_117_UP - Perikarderguss,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.444,
cluster_117_UP - SMW,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.685298911,0.164,
cluster_117_UP - FEV1,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.96305048,0.549,
cluster_117_UP - Tiffeneau Index FEV1/VC,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.894314847,0.437,
cluster_117_UP - DLCO,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.835213626,0.042,
cluster_117_UP - Kreatinin,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,1,0.97,
cluster_117_UP - eGFR,10,ENSG00000105372|RPS19 ENSG00000135119|RNFT2 ENSG00000142546|NOSIP ENSG00000147166|ITGB1BP2 ENSG00000173926|MARCHF3 ENSG00000213123|DYNLT2B ENSG00000223638|RFPL4A ENSG00000235411|DRG1P1 ENSG00000242134|RPL5P13 ENSG00000245910|SNHG6,NA,0.917430773,0.917,
cluster_118_UP - condition/healthy,12,ENSG00000022556|NLRP2 ENSG00000099953|MMP11 ENSG00000108375|RNF43 ENSG00000149231|CCDC82 ENSG00000163958|ZDHHC19 ENSG00000165730|STOX1 ENSG00000187624|C17orf97 ENSG00000204001|LCN8 ENSG00000247950|SEC24B-AS1 ENSG00000251513|LIX1-AS1 ENSG00000257275|ENSG00000257275 ENSG00000281741|ENSG00000281741,3,-,0.257,0.2398709
